failed to get console mode for stdout: The handle is invalid.
airflow-init-1  | 
airflow-init-1  | DB: postgresql+psycopg2://airflow:***@postgres/airflow
airflow-init-1  | Performing upgrade to the metadata database postgresql+psycopg2://airflow:***@postgres/airflow
airflow-init-1  | [2026-03-19T22:47:26.304+0000] {migration.py:207} INFO - Context impl PostgresqlImpl.
airflow-init-1  | [2026-03-19T22:47:26.304+0000] {migration.py:210} INFO - Will assume transactional DDL.
airflow-init-1  | [2026-03-19T22:47:26.306+0000] {migration.py:207} INFO - Context impl PostgresqlImpl.
airflow-init-1  | [2026-03-19T22:47:26.306+0000] {migration.py:210} INFO - Will assume transactional DDL.
airflow-init-1  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
airflow-init-1  | INFO  [alembic.runtime.migration] Will assume transactional DDL.
airflow-init-1  | INFO  [alembic.runtime.migration] Running stamp_revision  -> 5f2621c13b39
airflow-init-1  | Database migrating done!
airflow-init-1  | WARNING: Environment variable '_AIRFLOW_DB_UPGRADE' is deprecated please use '_AIRFLOW_DB_MIGRATE' instead
airflow-init-1  | /home/airflow/.local/lib/python3.12/site-packages/flask_limiter/extension.py:333 UserWarning: Using the in-memory storage for tracking rate limits as no storage was explicitly specified. This is not recommended for production use. See: https://flask-limiter.readthedocs.io#configuring-a-storage-backend for documentation about configuring the storage backend.
airflow-init-1  | [2026-03-19T22:47:32.573+0000] {override.py:1507} INFO - Inserted Role: Admin
airflow-init-1  | [2026-03-19T22:47:32.576+0000] {override.py:964} WARNING - No user yet created, use flask fab command to do it.
airflow-init-1  | [2026-03-19T22:47:32.636+0000] {override.py:1911} INFO - Created Permission View: can edit on Passwords
airflow-init-1  | [2026-03-19T22:47:32.644+0000] {override.py:1962} INFO - Added Permission can edit on Passwords to role Admin
airflow-init-1  | [2026-03-19T22:47:32.659+0000] {override.py:1911} INFO - Created Permission View: can read on Passwords
airflow-init-1  | [2026-03-19T22:47:32.669+0000] {override.py:1962} INFO - Added Permission can read on Passwords to role Admin
airflow-init-1  | [2026-03-19T22:47:32.691+0000] {override.py:1911} INFO - Created Permission View: can edit on My Password
airflow-init-1  | [2026-03-19T22:47:32.704+0000] {override.py:1962} INFO - Added Permission can edit on My Password to role Admin
airflow-init-1  | [2026-03-19T22:47:32.715+0000] {override.py:1911} INFO - Created Permission View: can read on My Password
airflow-init-1  | [2026-03-19T22:47:32.724+0000] {override.py:1962} INFO - Added Permission can read on My Password to role Admin
airflow-init-1  | [2026-03-19T22:47:32.745+0000] {override.py:1911} INFO - Created Permission View: can edit on My Profile
airflow-init-1  | [2026-03-19T22:47:32.753+0000] {override.py:1962} INFO - Added Permission can edit on My Profile to role Admin
